Año;Localidades;Proyecto;Categoria;Votos;Presupuesto;Ganador_bin
2023;Munro;Semáforo en Villate y E. del Campo;Movilidad;162;9500000;0
2023;Munro;Pisa pisuela - Jardín de Infantes Nº 909 (Provincial);Educación;149;8000000;0
2023;Munro;Punto seguro;Seguridad;143;10000000;0
2023;Munro;Punto seguro;Seguridad;66;10000000;0
2023;Munro;Asociación Ucraniana Renacimiento;Social;42;10000000;0
2023;Carapachay;Unión Vecinal 25 de Mayo;Social;819;10000000;1
2023;Carapachay;Sociedad de Fomento Drysdale;Social;493;10000000;1
2023;Carapachay;Escuela Secundaria Nº 3 (Provincial);Educación;427;10000000;1
2023;Carapachay;Arbolar Carapachay;Medio Ambiente;413;3375000;1
2023;Carapachay;Escuela Primaria N° 18 (Provincial);Educación;362;10000000;0
2023;Carapachay;Rampas en esquinas para transitar seguro;Reparaciones/Obra;304;6600000;1
2023;Carapachay;Semáforo en Almafuerte e Independencia;Movilidad;195;10000000;0
2023;Carapachay;Centro de Jubilados Luna de Otoño;Social;168;3000000;1
2023;Carapachay;Centro de Jubilados y Pensionados Unión Fraternal de Carapachay;Social;152;5000000;0
2023;Carapachay;Parada segura línea 252 (punto seguro);Seguridad;142;10000000;0
2023;Carapachay;La ecología empieza por casa;Medio Ambiente;140;800000;1
2023;Carapachay;La Casa del Jubilado;Social;137;3600000;0
2023;Carapachay;Semáforos peatonales en Ader y Obligado;Movilidad;134;9200000;0
2023;Carapachay;Talleres de radio;Cultura;134;5000000;0
2023;Carapachay;Punto seguro;Seguridad;123;10000000;0
2023;Carapachay;Seguridad vial en Club Drysdale;Salud;105;1200000;1
2023;Carapachay;Junta Vecinal Manuel Belgrano;Otros/Varios;81;10000000;0
2023;Carapachay;Seguridad vial en Carapachay;Salud;64;3912500;0
2023;Carapachay;Reductores de velocidad;Movilidad;55;812500;1
2023;Carapachay;Ordenamiento tránsito;Movilidad;51;200000;1
2023;Carapachay;Iglesia Cristiana Evangélica;Social;49;4420000;0
2023;Villa Adelina;Scouts Ntra. Sra. de La Pureza;Social;435;10000000;1
2023;Villa Adelina;Escuela Secundaria Nº 11 (Provincial);Educación;238;10000000;1
2023;Villa Adelina;Escuela Primaria Nº 28 (Provincial);Educación;230;10000000;0
2023;Villa Adelina;Jardín de Infantes Nº 907 (Provincial);Educación;160;5500000;0
2023;Villa Adelina;AVAPEA;Otros/Varios;124;10000000;1
2023;Villa Adelina;Manos a la masa;Otros/Varios;89;600000;1
2023;Villa Adelina;Punto seguro;Seguridad;85;10000000;1
2023;Villa Adelina;Club de Leones de Villa Adelina;Deporte;74;10000000;0
2023;Florida Este;Escuela Primaria Nº 12;Educación;1204;10000000;1
